rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,舰长,196,甜栗zi,43
2,1316734497,Y-bluezero-有爱播别薅,舰长,100,甜栗zi,43
3,1951359859,盖好被子好家伙,舰长,140,甜栗zi,41
4,7559452,云琅染烟-粑粑大王,舰长,221,甜栗zi,36
5,448508702,DDR-栗音织梦,舰长,236,甜栗zi,34
6,12051525,狗莓呐腮,舰长,263,甜栗zi,33
7,478530000,大那啥转转转,舰长,203,甜栗zi,32
8,3546656651872586,句句有回应一问三不知,舰长,17,甜栗zi,31
9,3546859666672207,v多喝点酒阿巴,舰长,62,甜栗zi,30
10,488750234,B站的辣个男人,舰长,125,甜栗zi,30
11,3546974085188366,陆云书,舰长,60,甜栗zi,30
12,397576075,秋宝-心软的神,舰长,34,甜栗zi,29
13,2010466294,玖九丨黎雾汐m,舰长,121,甜栗zi,28
14,3546849203981008,细嗦栗子卡的痰,舰长,161,甜栗zi,27
15,63257298,PSGLGDPTSD,舰长,108,甜栗zi,26
16,1497874693,AAA猪肉批发田总,舰长,38,甜栗zi,26
17,36625512,千面咸鱼,舰长,14,甜栗zi,26
18,314827433,虚掩的门牙,舰长,31,甜栗zi,25
19,273486679,御风-天地化生,舰长,22,甜栗zi,25
20,3546702061505344,我我我我叫甜茶,舰长,86,甜栗zi,25
21,103066396,冰冷的五点,舰长,10,甜栗zi,25
22,1884177625,没人要的小go同学,舰长,41,甜栗zi,23
23,670677253,小冬枝-加油猫冠,舰长,31,甜栗zi,22
24,629709144,黄璟瑜,舰长,26,甜栗zi,22
25,3632310639397590,芋泥香草派,舰长,14,甜栗zi,21
26,384255058,乍见秋风起,舰长,17,甜栗zi,21
