rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-有爱播别薅,提督,79,甜栗zi,42
2,44140887,-厄童-,舰长,175,甜栗zi,43
3,1951359859,盖好被子好家伙,舰长,119,甜栗zi,39
4,7559452,云琅染烟-粑粑大王,舰长,200,甜栗zi,35
5,448508702,DDR-栗音织梦,舰长,215,甜栗zi,34
6,12051525,狗莓呐腮,舰长,242,甜栗zi,32
7,478530000,大那啥转转转,舰长,182,甜栗zi,32
8,3546974085188366,陆云书,舰长,39,甜栗zi,30
9,3546859666672207,v多喝点酒阿巴,舰长,41,甜栗zi,30
10,397576075,秋宝-心软的神,舰长,13,甜栗zi,29
11,2010466294,玖九丨黎雾汐m,舰长,100,甜栗zi,28
12,3546392698030143,冰冷小白白,舰长,41,甜栗zi,28
13,488750234,B站的辣个男人,舰长,104,甜栗zi,28
14,3546849203981008,细嗦栗子卡的痰,舰长,140,甜栗zi,26
15,3546702061505344,我我我我叫甜茶,舰长,65,甜栗zi,25
16,63257298,PSGLGDPTSD,舰长,87,甜栗zi,24
17,3546737740352336,zero-单推go栗子,舰长,20,甜栗zi,23
18,14220595,今天不想加油猫,舰长,20,甜栗zi,23
19,314827433,虚掩的门牙,舰长,10,甜栗zi,22
20,670677253,小冬枝-加油猫冠,舰长,10,甜栗zi,22
21,629709144,黄璟瑜,舰长,5,甜栗zi,21
22,1884177625,没人要的小go同学,舰长,20,甜栗zi,21
23,3632301483231719,hopelessd,舰长,28,甜栗zi,21
24,3632301479037345,公爵尤里斯齐,舰长,28,甜栗zi,21
25,3632301380470785,嫣嫣Asian,舰长,28,甜栗zi,21
26,3546983182633245,雨晴zarya,舰长,28,甜栗zi,21
27,3546982652054270,zero狂野女猎手,舰长,28,甜栗zi,21
28,3546982597527661,金秋硕果飘香,舰长,28,甜栗zi,21
