rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,总督,240,甜栗zi,48
2,44140887,-厄童-,舰长,336,甜栗zi,44
3,1951359859,猪栗盖被,舰长,279,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,361,甜栗zi,38
5,21763284,Gemini-KK,舰长,140,甜栗zi,37
6,12051525,go栗莓拿塞,舰长,403,甜栗zi,35
7,448508702,DDR想过CET-6,舰长,376,甜栗zi,35
8,478530000,大那啥转转转,舰长,343,甜栗zi,34
9,273486679,御风-游客100919,舰长,74,甜栗zi,32
10,97554931,桃枝___,舰长,119,甜栗zi,32
11,1752700457,蛙蛙有点小迷糊,舰长,213,甜栗zi,31
12,3546849203981008,go栗拉粑通畅,舰长,295,甜栗zi,30
13,63257298,PSGLGDPTSD,舰长,183,甜栗zi,29
14,3690977564822180,亿盆猪猪,舰长,86,甜栗zi,29
15,3546737740352336,zero-爱播的嫡长小狗,舰长,70,甜栗zi,27
16,500945816,非正式调查1,舰长,86,甜栗zi,27
17,3461574368955256,小奶龙是栗子的小汪汪,舰长,13,甜栗zi,25
