rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,总督,238,甜栗zi,48
2,44140887,-厄童-,舰长,334,甜栗zi,44
3,1951359859,猪栗盖被,舰长,277,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,359,甜栗zi,38
5,21763284,Gemini-KK,舰长,138,甜栗zi,37
6,12051525,go栗莓拿塞,舰长,401,甜栗zi,35
7,448508702,DDR想过CET-6,舰长,374,甜栗zi,35
8,478530000,大那啥转转转,舰长,341,甜栗zi,34
9,273486679,御风-游客100919,舰长,72,甜栗zi,32
10,97554931,桃枝___,舰长,117,甜栗zi,32
11,1752700457,蛙蛙有点小迷糊,舰长,211,甜栗zi,31
12,3546849203981008,go栗拉粑通畅,舰长,293,甜栗zi,30
13,3690977564822180,亿盆猪猪,舰长,84,甜栗zi,28
14,3546737740352336,zero-爱播的嫡长小狗,舰长,68,甜栗zi,27
15,500945816,非正式调查1,舰长,84,甜栗zi,27
16,3461574368955256,小奶龙是栗子的小汪汪,舰长,11,甜栗zi,25
