rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,提督,77,甜栗zi,29
2,3546769308781297,道-_-_,舰长,148,甜栗zi,26
3,30560952,账号已注销,舰长,152,甜栗zi,26
4,1951359859,盖好被子好家伙,舰长,21,甜栗zi,26
5,448508702,栗子家的DDR,舰长,117,甜栗zi,26
6,7559452,云琅染烟,舰长,102,甜栗zi,26
7,1752700457,wawa是蛙蛙,舰长,157,甜栗zi,26
8,21763284,Matthew_kk,舰长,23,甜栗zi,26
9,478530000,大那啥转转转,舰长,84,甜栗zi,25
10,12051525,狗莓呐C,舰长,144,甜栗zi,25
11,3546892954766152,云书9月再见,舰长,65,甜栗zi,25
12,620489333,-桃夭酱-,舰长,73,甜栗zi,24
13,3494351216839395,棿铭,舰长,88,甜栗zi,23
14,3546849203981008,细嗦栗子卡的痰,舰长,42,甜栗zi,23
15,435504285,十浦寸,舰长,31,甜栗zi,23
16,108150270,糖唐棠棠堂,舰长,11,甜栗zi,23
17,488750234,B站的辣个男人,舰长,39,甜栗zi,22
18,1200120699,青山入梦---,舰长,55,甜栗zi,22
19,1302393099,黃金体験,舰长,12,甜栗zi,22
20,1665463273,兀劫1314,舰长,12,甜栗zi,22
21,2040855,fty158,舰长,20,甜栗zi,21
22,26448358,十八咕,舰长,19,甜栗zi,21
23,3546702061505344,我我我我叫清茶,舰长,8,甜栗zi,21
