rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,提督,58,甜栗zi,28
2,3546769308781297,道-_-_,舰长,129,甜栗zi,26
3,30560952,账号已注销,舰长,133,甜栗zi,26
4,448508702,DDR-栗所当然,舰长,98,甜栗zi,26
5,1752700457,wawa是蛙蛙,舰长,138,甜栗zi,26
6,7559452,云琅染烟,舰长,83,甜栗zi,26
7,1951359859,盖好被子好家伙,舰长,2,甜栗zi,25
8,478530000,大那啥转转转,舰长,65,甜栗zi,25
9,12051525,狗莓呐腮,舰长,125,甜栗zi,24
10,175002328,DDR-梨所当然,舰长,82,甜栗zi,24
11,3546892954766152,风吹云散回忆成书,舰长,46,甜栗zi,24
12,3494351216839395,棿铭,舰长,69,甜栗zi,23
13,620489333,-陌小寒-独宠栗子,舰长,56,甜栗zi,23
14,1200120699,青山入梦---,舰长,36,甜栗zi,22
15,3546849203981008,细嗦栗子卡的痰,舰长,23,甜栗zi,22
16,500945816,小雨落生花,舰长,31,甜栗zi,22
17,3546765624084973,CC努力做富婆,舰长,23,甜栗zi,22
18,2010466294,玖九丨妤云汐,舰长,14,甜栗zi,22
19,22364157,七酱lucky_,舰长,31,甜栗zi,22
20,63257298,PSGLGDPTSD,舰长,20,甜栗zi,21
21,488750234,B站的辣个男人,舰长,20,甜栗zi,21
22,21763284,Gemini-KK,舰长,4,甜栗zi,21
23,435504285,十浦寸,舰长,12,甜栗zi,21
