rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,提督,190,甜栗zi,46
2,44140887,-厄童-,舰长,286,甜栗zi,44
3,1951359859,go栗是大王八,舰长,230,甜栗zi,42
4,7559452,云琅染烟-粑粑大王,舰长,311,甜栗zi,38
5,448508702,DDR想过CET-6,舰长,326,甜栗zi,34
6,12051525,go栗莓拿塞,舰长,353,甜栗zi,34
7,478530000,大那啥转转转,舰长,293,甜栗zi,33
8,3546974085188366,陆云书,舰长,150,甜栗zi,30
9,273486679,御风-明月依旧,舰长,39,甜栗zi,30
10,3546849203981008,细嗦栗子卡的痰,舰长,245,甜栗zi,29
11,97554931,go栗纯赖,舰长,69,甜栗zi,28
12,314827433,虚掩的门牙,舰长,121,甜栗zi,28
13,18236089,翼凌try,舰长,37,甜栗zi,26
14,3690977564822180,亿盆猪猪,舰长,36,甜栗zi,25
15,500945816,非正式调查1,舰长,36,甜栗zi,25
16,1822136154,没用的大学生a,舰长,50,甜栗zi,24
17,3546850703444000,张土豆的小肚兜,舰长,23,甜栗zi,21
18,3546820795960171,饭田马丽娜-无语中,舰长,2,甜栗zi,21
