rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,舰长,306,甜栗zi,49
2,44140887,-厄童-,舰长,402,甜栗zi,44
3,1951359859,猪栗盖被,舰长,345,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,427,甜栗zi,38
5,3546737740352336,zero-爱播的嫡长小狗,舰长,134,甜栗zi,35
6,12051525,go栗莓拿塞,舰长,469,甜栗zi,35
7,448508702,DDR想过CET-6,舰长,442,甜栗zi,35
8,478530000,大那啥转转转,舰长,409,甜栗zi,35
9,3690977564822180,亿盆猪猪,舰长,152,甜栗zi,34
10,97554931,桃枝___,舰长,185,甜栗zi,34
11,1752700457,蛙蛙有点小迷糊,舰长,279,甜栗zi,32
12,3546974085188366,御风-落花雨,舰长,187,甜栗zi,32
13,108150270,唐棠-Mona,舰长,151,甜栗zi,31
14,3461574368955256,栗子姐姐的汪汪小奶龙,舰长,79,甜栗zi,31
15,3546849203981008,go栗拉粑通畅,舰长,361,甜栗zi,31
16,500761656,---人间惊鸿客---,舰长,57,甜栗zi,27
17,471493795,往路若尘,舰长,2,甜栗zi,24
18,3690987140418002,未署名页,舰长,7,甜栗zi,24
