rank,uid,username,type,accompany,medal_name,medal_level
1,3546737740352336,zero-爱播的嫡长小狗,提督,121,甜栗zi,35
2,1316734497,Y-bluezero-爱播大笨蛋,舰长,293,甜栗zi,49
3,44140887,-厄童-,舰长,389,甜栗zi,44
4,1951359859,猪栗盖被,舰长,332,甜栗zi,43
5,7559452,云琅染烟-粑粑大王,舰长,414,甜栗zi,38
6,12051525,go栗莓拿塞,舰长,456,甜栗zi,35
7,448508702,DDR想过CET-6,舰长,429,甜栗zi,35
8,478530000,大那啥转转转,舰长,396,甜栗zi,35
9,3690977564822180,亿盆猪猪,舰长,139,甜栗zi,34
10,97554931,桃枝___,舰长,172,甜栗zi,33
11,3546974085188366,御风-落花雨,舰长,174,甜栗zi,31
12,1752700457,蛙蛙有点小迷糊,舰长,266,甜栗zi,31
13,108150270,唐棠-Mona,舰长,138,甜栗zi,31
14,3546849203981008,go栗拉粑通畅,舰长,348,甜栗zi,31
15,3461574368955256,栗子姐姐的汪汪小奶龙,舰长,66,甜栗zi,30
16,63257298,PSGLGDPTSD,舰长,236,甜栗zi,30
17,500761656,---人间惊鸿客---,舰长,44,甜栗zi,27
18,3632310639397590,椰椰拿铁西瓜,舰长,58,甜栗zi,24
19,524236085,夏弥oL,舰长,52,甜栗zi,24
20,71135718,江源源lith,舰长,25,甜栗zi,21
