rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,舰长,302,甜栗zi,49
2,44140887,-厄童-,舰长,398,甜栗zi,44
3,1951359859,猪栗盖被,舰长,341,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,423,甜栗zi,38
5,3546737740352336,zero-爱播的嫡长小狗,舰长,130,甜栗zi,35
6,12051525,go栗莓拿塞,舰长,465,甜栗zi,35
7,478530000,大那啥转转转,舰长,405,甜栗zi,35
8,448508702,DDR想过CET-6,舰长,438,甜栗zi,35
9,3690977564822180,亿盆猪猪,舰长,148,甜栗zi,34
10,97554931,桃枝___,舰长,181,甜栗zi,33
11,3546974085188366,御风-落花雨,舰长,183,甜栗zi,32
12,1752700457,蛙蛙有点小迷糊,舰长,275,甜栗zi,31
13,108150270,唐棠-Mona,舰长,147,甜栗zi,31
14,3546849203981008,go栗拉粑通畅,舰长,357,甜栗zi,31
15,3461574368955256,栗子姐姐的汪汪小奶龙,舰长,75,甜栗zi,30
16,500761656,---人间惊鸿客---,舰长,53,甜栗zi,27
17,524236085,夏弥oL,舰长,61,甜栗zi,24
18,3690987140418002,未署名页,舰长,3,甜栗zi,21
