rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,舰长,303,甜栗zi,49
2,44140887,-厄童-,舰长,399,甜栗zi,44
3,1951359859,猪栗盖被,舰长,342,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,424,甜栗zi,38
5,3546737740352336,zero-爱播的嫡长小狗,舰长,131,甜栗zi,35
6,12051525,go栗莓拿塞,舰长,466,甜栗zi,35
7,478530000,大那啥转转转,舰长,406,甜栗zi,35
8,448508702,DDR想过CET-6,舰长,439,甜栗zi,35
9,3690977564822180,亿盆猪猪,舰长,149,甜栗zi,34
10,97554931,桃枝___,舰长,182,甜栗zi,33
11,3546974085188366,御风-落花雨,舰长,184,甜栗zi,32
12,1752700457,蛙蛙有点小迷糊,舰长,276,甜栗zi,31
13,108150270,唐棠-Mona,舰长,148,甜栗zi,31
14,3546849203981008,go栗拉粑通畅,舰长,358,甜栗zi,31
15,3461574368955256,栗子姐姐的汪汪小奶龙,舰长,76,甜栗zi,30
16,500761656,---人间惊鸿客---,舰长,54,甜栗zi,27
17,3690987140418002,未署名页,舰长,4,甜栗zi,21
