rank,uid,username,type,accompany,medal_name,medal_level
1,30560952,纳西妲的七度空间,舰长,40,甜栗zi,26
2,3546769308781297,道-_-_,舰长,36,甜栗zi,25
3,1752700457,wawa是蛙蛙,舰长,45,甜栗zi,25
4,348979673,开鹿虎,舰长,14,甜栗zi,23
5,3546678825060788,亚瑟DC柯南道尔,舰长,11,甜栗zi,23
6,3537111466642111,似-S,舰长,30,甜栗zi,23
7,12051525,狗莓呐腮,舰长,33,甜栗zi,22
8,342119592,Yoka_Q,舰长,27,甜栗zi,22
9,448508702,茫漠としたDDR,舰长,5,甜栗zi,22
10,3494351216839395,-_-贾队长曲线救国-_-,舰长,36,甜栗zi,22
11,1400674452,骨折眉毛主宰世界,舰长,23,甜栗zi,22
12,285361200,有间客栈无账房,舰长,17,甜栗zi,21
13,1044409355,奶酪吧噗,舰长,6,甜栗zi,21
14,1643218509,碎水向东流,舰长,26,甜栗zi,21
15,3494365865445814,露露lulu啦,舰长,23,甜栗zi,21
