rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,提督,234,甜栗zi,44
2,1951359859,小猪盖呗,提督,178,甜栗zi,42
3,7559452,云琅染烟-粑粑大王,提督,259,甜栗zi,38
4,3546392698030143,冰冷小白白,提督,90,甜栗zi,32
5,1316734497,Y-bluezero-有爱播别薅,舰长,138,甜栗zi,44
6,448508702,DDR想过CET-6,舰长,274,甜栗zi,34
7,12051525,狗莓呐腮,舰长,301,甜栗zi,33
8,478530000,大那啥转转转,舰长,241,甜栗zi,33
9,3546974085188366,陆云书,舰长,98,甜栗zi,30
10,36625512,千面咸鱼,舰长,52,甜栗zi,29
11,63257298,PSGLGDPTSD,舰长,140,甜栗zi,28
12,3546849203981008,细嗦栗子卡的痰,舰长,199,甜栗zi,28
13,314827433,虚掩的门牙,舰长,69,甜栗zi,26
14,435504285,十浦寸,舰长,93,甜栗zi,26
15,103066396,冰冷的五点,舰长,48,甜栗zi,25
16,97554931,桃枝___,舰长,17,甜栗zi,24
17,384255058,乍见秋风起,舰长,55,甜栗zi,23
18,32492246,奇迹白泽,舰长,8,甜栗zi,21
19,401106377,薛定谔的小颖,舰长,24,甜栗zi,21
20,3690973984983897,阿胖哦的相好,舰长,24,甜栗zi,21
21,3690973984983339,小明格丶,舰长,24,甜栗zi,21
22,3690973984983168,是小阿胖呢,舰长,24,甜栗zi,21
23,3632319504058772,橙子丶oe,舰长,24,甜栗zi,21
24,3546562043054921,清清闲闲哆欢乐,舰长,24,甜栗zi,21
