rank,uid,username,type,accompany,medal_name,medal_level
1,3546737740352336,zero-爱播的嫡长小狗,提督,92,甜栗zi,33
2,1316734497,Y-bluezero-爱播大笨蛋,舰长,264,甜栗zi,49
3,44140887,-厄童-,舰长,360,甜栗zi,44
4,1951359859,猪栗盖被,舰长,303,甜栗zi,43
5,7559452,云琅染烟-粑粑大王,舰长,385,甜栗zi,38
6,12051525,go栗莓拿塞,舰长,427,甜栗zi,35
7,448508702,DDR想过CET-6,舰长,400,甜栗zi,35
8,478530000,大那啥转转转,舰长,367,甜栗zi,34
9,97554931,桃枝___,舰长,143,甜栗zi,32
10,1752700457,蛙蛙有点小迷糊,舰长,237,甜栗zi,31
11,3546849203981008,go栗拉粑通畅,舰长,319,甜栗zi,30
12,3690977564822180,亿盆猪猪,舰长,110,甜栗zi,30
13,63257298,PSGLGDPTSD,舰长,207,甜栗zi,29
14,3461574368955256,栗子姐姐的汪汪小奶龙,舰长,37,甜栗zi,28
15,524236085,夏弥oL,舰长,23,甜栗zi,22
16,500761656,---人间惊鸿客---,舰长,15,甜栗zi,21
