rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,提督,125,甜栗zi,42
2,1316734497,Y-bluezero-戒氪ing,提督,29,甜栗zi,35
3,21763284,Matthew_kk,舰长,71,甜栗zi,35
4,1951359859,盖好被子好家伙,舰长,69,甜栗zi,35
5,7559452,云琅染烟-粑粑大王,舰长,150,甜栗zi,33
6,448508702,栗子家的DDR,舰长,165,甜栗zi,33
7,3546769308781297,道-_-_,舰长,178,甜栗zi,33
8,30560952,账号已注销,舰长,200,甜栗zi,32
9,3546801326000622,陆思砚,舰长,17,甜栗zi,31
10,478530000,大那啥转转转,舰长,132,甜栗zi,30
11,3546892954766152,账号已注销,舰长,113,甜栗zi,29
12,12051525,狗莓呐腮,舰长,192,甜栗zi,29
13,620489333,-陌小寒-,舰长,121,甜栗zi,26
14,2010466294,玖九丨妤云汐,舰长,50,甜栗zi,25
15,3546849203981008,细嗦栗子卡的痰,舰长,90,甜栗zi,25
16,108150270,-多多西米-,舰长,59,甜栗zi,24
17,488750234,B站的辣个男人,舰长,82,甜栗zi,24
18,435504285,十浦寸,舰长,79,甜栗zi,24
19,63257298,PSGLGDPTSD,舰长,41,甜栗zi,23
20,1952695535,不寻常的小狼狗,舰长,49,甜栗zi,22
21,1497874693,AAA猪肉批发田总,舰长,10,甜栗zi,22
22,3546968213162374,账号已注销,舰长,14,甜栗zi,22
23,18236089,翼凌try,舰长,5,甜栗zi,21
24,500044487,耐克爷爷家养的猪,舰长,27,甜栗zi,21
25,44101213,使一颗心兔于破碎,舰长,27,甜栗zi,21
26,3546960587917333,是六出雪,舰长,27,甜栗zi,21
27,3546667567549110,来瓶82年的可乐_,舰长,27,甜栗zi,21
28,2094200,八十呱,舰长,17,甜栗zi,21
29,1869320930,旧欢如梦绝音,舰长,27,甜栗zi,21
30,1423689037,喜欢喝水开,舰长,27,甜栗zi,21
31,11616614,對對對對對QwQ,舰长,27,甜栗zi,21
32,10880619,千层萤火,舰长,27,甜栗zi,21
