rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,提督,123,甜栗zi,42
2,1316734497,Y-bluezero-戒氪ing,提督,27,甜栗zi,35
3,21763284,Matthew_kk,舰长,69,甜栗zi,35
4,1951359859,盖好被子好家伙,舰长,67,甜栗zi,35
5,7559452,云琅染烟-粑粑大王,舰长,148,甜栗zi,33
6,448508702,栗子家的DDR,舰长,163,甜栗zi,33
7,3546769308781297,道-_-_,舰长,176,甜栗zi,33
8,30560952,账号已注销,舰长,198,甜栗zi,32
9,478530000,大那啥转转转,舰长,130,甜栗zi,30
10,3546892954766152,账号已注销,舰长,111,甜栗zi,29
11,12051525,狗莓呐腮,舰长,190,甜栗zi,29
12,3546801326000622,小亿不高冷,舰长,15,甜栗zi,27
13,620489333,-陌小寒-,舰长,119,甜栗zi,26
14,2010466294,玖九丨妤云汐,舰长,48,甜栗zi,25
15,3546849203981008,细嗦栗子卡的痰,舰长,88,甜栗zi,25
16,108150270,糖唐棠棠堂,舰长,57,甜栗zi,24
17,488750234,B站的辣个男人,舰长,80,甜栗zi,24
18,435504285,十浦寸,舰长,77,甜栗zi,24
19,63257298,PSGLGDPTSD,舰长,39,甜栗zi,23
20,1952695535,不寻常的小狼狗,舰长,47,甜栗zi,22
21,1497874693,AAA猪肉批发田总,舰长,8,甜栗zi,21
22,3546968213162374,账号已注销,舰长,12,甜栗zi,21
23,18236089,翼凌try,舰长,3,甜栗zi,21
24,500044487,耐克爷爷家养的猪,舰长,25,甜栗zi,21
25,44101213,使一颗心兔于破碎,舰长,25,甜栗zi,21
26,3546960587917333,是六出雪,舰长,25,甜栗zi,21
27,3546667567549110,来瓶82年的可乐_,舰长,25,甜栗zi,21
28,2094200,八十呱,舰长,15,甜栗zi,21
29,1869320930,旧欢如梦绝音,舰长,25,甜栗zi,21
30,1423689037,喜欢喝水开,舰长,25,甜栗zi,21
31,11616614,對對對對對QwQ,舰长,25,甜栗zi,21
32,10880619,千层萤火,舰长,25,甜栗zi,21
