rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-封米锁票,舰长,351,甜栗zi,49
2,44140887,-厄童-,舰长,447,甜栗zi,44
3,1951359859,猪栗盖被,舰长,390,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,472,甜栗zi,38
5,3546737740352336,zero-爱播的嫡长小狗,舰长,179,甜栗zi,35
6,12051525,go栗莓拿塞,舰长,514,甜栗zi,35
7,478530000,大那啥转转转,舰长,454,甜栗zi,35
8,448508702,ununddr,舰长,487,甜栗zi,35
9,97554931,桃枝___想要回本版,舰长,230,甜栗zi,34
10,3690977564822180,亿盆猪猪,舰长,197,甜栗zi,34
11,3461574368955256,栗子的小奶龙-穷鬼版,舰长,124,甜栗zi,34
12,3546974085188366,御风-AI小助理,舰长,232,甜栗zi,32
13,1752700457,蛙蛙有点小迷糊,舰长,324,甜栗zi,32
14,13572023,木瀚,舰长,7,甜栗zi,25
15,354085049,PINK系イケメン,舰长,46,甜栗zi,23
16,616520070,野牛不牛,舰长,17,甜栗zi,21
17,1354494125,百香果山竹味汽水,舰长,9,甜栗zi,21
18,2028510271,Caritatem,舰长,6,甜栗zi,21
