rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,提督,157,甜栗zi,43
2,1316734497,Y-bluezero-有爱播别薅,提督,61,甜栗zi,41
3,1951359859,盖好被子好家伙,舰长,101,甜栗zi,37
4,7559452,云琅染烟-粑粑大王,舰长,182,甜栗zi,35
5,3546801326000622,阿颖不乖,舰长,49,甜栗zi,34
6,448508702,DDR-坐会就走,舰长,197,甜栗zi,34
7,478530000,大那啥转转转,舰长,164,甜栗zi,31
8,12051525,狗莓呐腮,舰长,224,甜栗zi,31
9,3546859666672207,v多喝点酒阿巴,舰长,23,甜栗zi,30
10,3546892954766152,账号已注销,舰长,145,甜栗zi,29
11,2010466294,玖九丨黎雾汐,舰长,82,甜栗zi,28
12,3546392698030143,冰冷小白白,舰长,23,甜栗zi,28
13,3546849203981008,细嗦栗子卡的痰,舰长,122,甜栗zi,26
14,3546974085188366,陆云书,舰长,21,甜栗zi,25
15,108150270,-多多西米-,舰长,91,甜栗zi,25
16,63257298,PSGLGDPTSD,舰长,69,甜栗zi,24
17,3546702061505344,我我我我叫甜茶,舰长,47,甜栗zi,24
18,2094200,八十呱,舰长,49,甜栗zi,23
19,14220595,今天不想加油猫,舰长,2,甜栗zi,22
20,3546737740352336,zero-单推go栗子,舰长,2,甜栗zi,22
21,1884177625,举个-栗子芽-被被宠着,舰长,2,甜栗zi,21
22,3632301483231719,hopelessd,舰长,10,甜栗zi,21
23,3632301479037345,公爵尤里斯齐,舰长,10,甜栗zi,21
24,3632301380470785,嫣嫣Asian,舰长,10,甜栗zi,21
25,3546983182633245,雨晴zarya,舰长,10,甜栗zi,21
26,3546982652054270,zero狂野女猎手,舰长,10,甜栗zi,21
27,3546982597527661,金秋硕果飘香,舰长,10,甜栗zi,21
