rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,提督,150,甜栗zi,43
2,1316734497,Y-bluezero-有爱播别薅,提督,54,甜栗zi,40
3,1951359859,盖好被子好家伙,舰长,94,甜栗zi,37
4,21763284,Matthew_kk,舰长,96,甜栗zi,35
5,7559452,云琅染烟-粑粑大王,舰长,175,甜栗zi,35
6,3546801326000622,阿颖不乖,舰长,42,甜栗zi,34
7,448508702,DDR-lizi,舰长,190,甜栗zi,33
8,478530000,大那啥转转转,舰长,157,甜栗zi,31
9,12051525,狗莓呐腮,舰长,217,甜栗zi,30
10,3546892954766152,账号已注销,舰长,138,甜栗zi,29
11,3546859666672207,VVCjfc,舰长,16,甜栗zi,29
12,3546392698030143,冰冷小白白,舰长,16,甜栗zi,27
13,2010466294,玖九丨黎雾汐,舰长,75,甜栗zi,26
14,3546849203981008,细嗦栗子卡的痰,舰长,115,甜栗zi,25
15,108150270,-多多西米-,舰长,84,甜栗zi,25
16,63257298,PSGLGDPTSD,舰长,62,甜栗zi,24
17,3546974085188366,陆云书,舰长,14,甜栗zi,24
18,3546702061505344,我我我我叫甜茶,舰长,40,甜栗zi,24
19,2094200,八十呱,舰长,42,甜栗zi,23
20,18236089,翼凌try,舰长,30,甜栗zi,22
21,3632301483231719,hopelessd,舰长,3,甜栗zi,21
22,3632301479037345,公爵尤里斯齐,舰长,3,甜栗zi,21
23,3632301380470785,嫣嫣Asian,舰长,3,甜栗zi,21
24,3546983182633245,雨晴zarya,舰长,3,甜栗zi,21
25,3546982652054270,zero狂野女猎手,舰长,3,甜栗zi,21
26,3546982597527661,金秋硕果飘香,舰长,3,甜栗zi,21
