rank,uid,username,type,accompany,medal_name,medal_level
1,44140887,-厄童-,提督,146,甜栗zi,42
2,1316734497,Y-bluezero-大猛一戒氪,提督,50,甜栗zi,39
3,1951359859,盖好被子好家伙,舰长,90,甜栗zi,36
4,21763284,Matthew_kk,舰长,92,甜栗zi,35
5,7559452,云琅染烟-粑粑大王,舰长,171,甜栗zi,35
6,3546801326000622,阿颖不乖,舰长,38,甜栗zi,34
7,448508702,DDR-lizi,舰长,186,甜栗zi,33
8,478530000,大那啥转转转,舰长,153,甜栗zi,31
9,12051525,狗莓呐腮,舰长,213,甜栗zi,30
10,3546892954766152,账号已注销,舰长,134,甜栗zi,29
11,3546859666672207,VVCjfc,舰长,12,甜栗zi,29
12,3546392698030143,冰冷小白白,舰长,12,甜栗zi,27
13,2010466294,玖九丨黎雾汐,舰长,71,甜栗zi,26
14,3546849203981008,细嗦栗子卡的痰,舰长,111,甜栗zi,25
15,108150270,-多多西米-,舰长,80,甜栗zi,25
16,1497874693,AAA猪肉批发田总,舰长,31,甜栗zi,24
17,3546702061505344,我我我我叫甜茶,舰长,36,甜栗zi,24
18,2094200,八十呱,舰长,38,甜栗zi,23
19,18236089,翼凌try,舰长,26,甜栗zi,22
20,3546974085188366,陆云书,舰长,10,甜栗zi,22
