rank,uid,username,type,accompany,medal_name,medal_level
1,1316734497,Y-bluezero-爱播大笨蛋,舰长,341,甜栗zi,49
2,44140887,-厄童-,舰长,437,甜栗zi,44
3,1951359859,猪栗盖被,舰长,380,甜栗zi,43
4,7559452,云琅染烟-粑粑大王,舰长,462,甜栗zi,38
5,3546737740352336,zero-爱播的嫡长小狗,舰长,169,甜栗zi,35
6,12051525,go栗莓拿塞,舰长,504,甜栗zi,35
7,478530000,大那啥转转转,舰长,444,甜栗zi,35
8,448508702,ununddr,舰长,477,甜栗zi,35
9,97554931,桃枝___想要回本版,舰长,220,甜栗zi,34
10,3690977564822180,亿盆猪猪,舰长,187,甜栗zi,34
11,3461574368955256,栗子的小奶龙-穷鬼版,舰长,114,甜栗zi,33
12,3546974085188366,御风-修生养息,舰长,222,甜栗zi,32
13,1752700457,蛙蛙有点小迷糊,舰长,314,甜栗zi,32
14,354085049,PINK系イケメン,舰长,36,甜栗zi,23
15,616520070,野牛不牛,舰长,7,甜栗zi,21
